Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Prasada,south indian,Joka,"180, Mukund Das Colony, Diamond Harbour Road, Thakur Pukur, Near Vivekananda College, Joka, Kolkata",150,1785,4.2,cheapeats,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating cheapeats,south indian homedelivery takeaway vegonly indoorseating cheapeats
Kolkata Taj Biryani,biryani,Behala,"238, Ho Chi Minh Sarani, Behala, Kolkata",150,5132,4.0,cheapeats,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating cheapeats,biryani homedelivery takeaway indoorseating cheapeats
New Poulami Sweets,"mishti, street food",Behala,"309 F, Ground Floor, Sangita Residency, Ward 127, Ho-Chi-Minh Sarani, Behala, Kolkata",50,2010,4.0,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti street food homedelivery takeaway vegonly cheapeats
Shorshea Phoron,bengali,Behala,"182, Om Tower, Ho Chi Minh Sarani, Behala, Kolkata",300,559,3.3000000000000003,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bengali homedelivery takeaway indoorseating midrange
Jiya Snacks,"north indian, chinese",Ballygunge,"107, Ekdalia Road, Near Government Bus Stop, Ballygunge, Kolkata",100,11,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian chinese homedelivery takeaway cheapeats
Roll Capital,"rolls, salad",Ajoy Nagar,"57A, Sammilani Park, Ajoy Nagar, Kolkata",100,1277,4.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,rolls salad homedelivery takeaway cheapeats
Chandu Bhelwala,street food,Southern Avenue,"A-16, Charu Chandra Place East, Southern Avenue, Kolkata",100,18,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,street food homedelivery takeaway cheapeats
Monkey Chef,"chinese, momos, asian",Baguihati,"Ground Floor, Tegharia Main Road, Beside Loknath Mandir, Baguihati, Kolkata",150,2534,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,chinese momos asian homedelivery cheapeats
Midnight Belly,"fast food, chinese, north indian",Prince Anwar Shah Road,"321/A, Prince Anwar Shah Road, Kolkata",200,8555,3.7,midrange,homedelivery   ,homedelivery midrange,fast food chinese north indian homedelivery midrange
Chunky Monkey,"pizza, burger, sandwich, fast food",Tollygunge,"15, Russa Road, East 2nd Lane, Municipal Corporation, Tollygunge, Kolkata",200,300,3.4,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,pizza burger sandwich fast food homedelivery takeaway midrange
Mood Music Food,"chinese, fast food",Jadavpur,"141/36, Prince Golam Hossain Sha Road, Jadavpur, Kolkata",450,14,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese fast food homedelivery takeaway indoorseating expensive
C3 Kitchen,"chinese, north indian, kebab, mughlai",Jadavpur,"37, Bikramgarh, Jadavpur, Kolkata",200,1,0.0,midrange,homedelivery   ,homedelivery midrange,chinese north indian kebab mughlai homedelivery midrange
Hot & Spice,"chinese, bengali, north indian, rolls, biryani",Kasba,"253/B.B, Chatterjee Road, Kasba, Kolkata",100,6,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,chinese bengali north indian rolls biryani homedelivery cheapeats
Hungry Hangout,"fast food, sandwich, beverages",Jadavpur,"16 B, Bidhanpally, Jadavpur, Kolkata",450,1,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,fast food sandwich beverages homedelivery takeaway indoorseating expensive
WOW! Momo,"momos, fast food, tibetan",Behala,"355, Near Behala Police Station, Diamond Harbour Road, Behala, Kolkata",200,10100,4.2,midrange,homedelivery   ,homedelivery midrange,momos fast food tibetan homedelivery midrange
Domino's Pizza,"pizza, fast food, beverages, desserts",Behala,"18, James Long Sarani, Behala, Kolkata",400,9790,4.4,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,pizza fast food beverages desserts homedelivery takeaway indoorseating midrange
Aminia,"north indian, mughlai, chinese, kebab, rolls, biryani, desserts",Behala,"54, Diamond Harbor Road, Pathak Para, Behala, Kolkata",700,14730,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai chinese kebab rolls biryani desserts homedelivery takeaway indoorseating expensive
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Behala,"P-16, Rama Krisna Sarani, Behala, Kolkata",100,712,4.5,cheapeats,homedelivery  vegonly ,homedelivery vegonly cheapeats,ice cream desserts homedelivery vegonly cheapeats
Ashirwad Biryani,biryani,Behala,"257, Mahendra Banerjee Road, Borough 14, Behala, Kolkata",250,1991,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Hatari,"chinese, north indian, biryani, kebab",Behala,"18, Bhupen Roy Road, Behala, Kolkata",900,9091,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian biryani kebab homedelivery takeaway indoorseating expensive
Wow! Bangali,"bengali, biryani, fast food",Behala,"15/1/2, Sodepur Brick Field Road, Behala, Kolkata",100,1346,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali biryani fast food homedelivery takeaway cheapeats
Sumi's Kitchen,"biryani, chinese, north indian, bengali, kebab",Behala,"85, Biren Roy Road West, Bakultala, Behala, Kolkata",500,31526,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani chinese north indian bengali kebab homedelivery takeaway indoorseating expensive
KFC,"burger, fast food, biryani, desserts, beverages",Behala,"96, Diamond Harbour Road, Shaker Bazar, Behala, Kolkata",400,25325,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food biryani desserts beverages homedelivery takeaway indoorseating midrange
Chowman,"chinese, seafood, desserts",Behala,"6A/2, Banamali Ghoshal Lane, Behala, Kolkata",1000,27264,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood desserts homedelivery takeaway indoorseating expensive
Subway,"healthy food, fast food, sandwich, salad, beverages, wraps",New Alipore,"175, Block G, Nalini Ranjan Avenue, New Alipore, Kolkata",400,6344,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,healthy food fast food sandwich salad beverages wraps homedelivery takeaway indoorseating midrange
Crazy 4 Cakes,"bakery, desserts",New Alipore,"264, Durgapur Colony, Ward 81, Br-X, New Alipore, Kolkata",50,1656,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts homedelivery takeaway cheapeats
Jadu Kadai,"chinese, north indian, biryani, momos",Behala,"743, Diamond Harbour Road, Near Behala Chowrasta, Behala, Kolkata",550,6331,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian biryani momos homedelivery takeaway indoorseating expensive
Zam Zam,"biryani, rolls",Kidderpore,"18, Dent Mission Road, Kidderpore, Kolkata",500,3524,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani rolls homedelivery takeaway indoorseating expensive
Koshe Kosha,"bengali, desserts",Behala,"12, Mondal Para 1st Lane, James Long Sarani, Near M P Birla High School, Behala, Kolkata",800,4829,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali desserts homedelivery takeaway indoorseating expensive
6 Ballygunge Place Take Away,"bengali, bangladeshi",Behala,"165, Santosh Roy Road, Behala, Kolkata",150,1371,4.2,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali bangladeshi homedelivery takeaway cheapeats
Flurys,"bakery, desserts, fast food, coffee",New Alipore,"41, Ramtanu Lahiri Sarani, Ward 81, New Alipore, Kolkata",300,723,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food coffee homedelivery takeaway indoorseating midrange
Monginis,"bakery, fast food, desserts",New Alipore,"23A/541B, Diamond Harbour Road, Near Petrol Pump, New Alipore, Kolkata",50,1630,4.2,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery fast food desserts homedelivery takeaway cheapeats
Oudh 1590,"biryani, kebab, awadhi, mughlai",Naktala,"356/3/1, NSC Bose Road, Naktala, Kolkata",1200,8238,4.200000000000001,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani kebab awadhi mughlai homedelivery takeaway indoorseating expensive
Balaram Mullick & Radharaman Mullick Sweets,"mishti, mithai, desserts",Behala,"567, Ground Floor, Diamond Harbor Road, Behala, Kolkata",100,4,4.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,mishti mithai desserts homedelivery takeaway cheapeats
Kabuliwala,"biryani, mughlai, rolls",Thakur Pukur,"110, 1st Floor, Om Sai Kriti Apartment, Diamond Harbour Road, Thakur Pukur, Kolkata",200,14500,4.1,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani mughlai rolls homedelivery takeaway midrange
Mama Mia!,"ice cream, desserts, beverages",Behala,"63/21, Barisha, Purba Barisha, South 24 PGNS, Nabalia Para Road, Behala, Kolkata",200,4351,4.4,midrange,homedelivery   ,homedelivery midrange,ice cream desserts beverages homedelivery midrange
NIC - Natural Ice Creams,"ice cream, desserts",Behala,"Shop 25/A, Raja Ram Mohan Roy Road, Behala, Kolkata",300,2209,4.6,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,ice cream desserts homedelivery takeaway indoorseating midrange
Azad Hind Dhaba,"north indian, chinese, mughlai, rolls, biryani",Joka,"109, Diamond Harbour Road, Near Bharath Petrol Pump, Joka, Kolkata",700,12584,3.9,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,north indian chinese mughlai rolls biryani homedelivery takeaway expensive
Baskin Robbins,"ice cream, desserts, beverages",Behala,"68A, Bhupen Roy Road, Behala, Kolkata",150,2637,4.4,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,ice cream desserts beverages homedelivery takeaway vegonly cheapeats
Cookies & Cakes,"bakery, fast food, desserts, sandwich",Behala,"116B, Senhati Colony, Chanditola Branch Road, Behala, Kolkata",100,5447,4.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery fast food desserts sandwich homedelivery takeaway cheapeats
Dariole,"bakery, desserts, beverages, fast food",Behala,"Ground Floor, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Behala, Kolkata",100,944,4.4,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts beverages fast food homedelivery takeaway cheapeats
Kathleen,"bakery, desserts, fast food",Behala,"305, Diamond Harbour Road, Behala, Kolkata",50,593,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food homedelivery takeaway cheapeats
Machhli Baba Fries,"bengali, north indian, kebab",Behala,"24, Raja Ram Mohon Roy Road, Near Mondal Jewellers, Behala, Kolkata",300,2491,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bengali north indian kebab homedelivery takeaway indoorseating midrange
Natural Ice Cream,"ice cream, desserts",Behala,"203, Mahatma Gandhi Road, Behala, Kolkata",300,615,4.6,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,ice cream desserts homedelivery takeaway vegonly indoorseating midrange
Haka,"chinese, momos, desserts, beverages",Behala,"A1, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Barisha, Behala, Kolkata",800,2940,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese momos desserts beverages homedelivery takeaway indoorseating expensive
Rang De Basanti Dhaba,"north indian, mughlai, beverages",Behala,"E-7/99/A, Maheshtala, Biren Roy Road, Behala, Kolkata",600,3326,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai beverages homedelivery takeaway indoorseating expensive
Kreamz,"bakery, desserts, fast food",Behala,"2/6, Sourin Roy Road, Behala, Kolkata",100,34,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts fast food homedelivery cheapeats
Tea Junction,"tea, fast food, beverages",Kidderpore,"7/2, The Calcutta Medical Research Institute, Diamond Harbor Road, Kidderpore, Kolkata",350,499,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,tea fast food beverages homedelivery takeaway indoorseating midrange
The French Loaf,"bakery, desserts, fast food, pizza",Alipore,"4A, Ground Floor, New Road, Near Krishna Super Bazar, Alipore, Kolkata",400,536,3.9000000000000004,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food pizza homedelivery takeaway indoorseating midrange
Mainland China,"chinese, desserts, beverages",Behala,"A1, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Behala, Kolkata",500,345,4.1,expensive,homedelivery   ,homedelivery expensive,chinese desserts beverages homedelivery expensive
Cafe Coffee Day,"coffee, desserts, fast food, beverages",Behala,"68A/1, James Long Sarani, Bhupen Roy Road, Behala, Kolkata",500,1350,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,coffee desserts fast food beverages homedelivery takeaway indoorseating expensive
Rollick,"desserts, ice cream, beverages",Behala,"19, Mondal Para, 1st Lane, 160 Bhupen Roy Road, Behala, Kolkata",200,0,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts ice cream beverages homedelivery takeaway indoorseating midrange
fnpCakes ‘n’ more,"bakery, desserts",New Alipore,"Shop 3, Block B, Ustad Allaudin Khan Sarani, New Alipore, Kolkata",300,479,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts homedelivery takeaway indoorseating midrange
Faasos - Wraps & Rolls,"fast food, rolls, wraps, shake",Joka,"203, Mahatma Gandhi Road, Joka, Kolkata",200,3184,4.1,midrange,homedelivery   ,homedelivery midrange,fast food rolls wraps shake homedelivery midrange
Sweet Truth - Cake and Desserts,"bakery, desserts",Joka,"203, Mahatma Gandhi Road, Joka, Kolkata",300,1361,4.1,midrange,homedelivery   ,homedelivery midrange,bakery desserts homedelivery midrange
Shawarma Nation,"lebanese, fast food, healthy food, burger",Behala,"P 20, Nabalia Para Road, Behala, Kolkata",250,3547,4.2,midrange,homedelivery   ,homedelivery midrange,lebanese fast food healthy food burger homedelivery midrange
China Green,"chinese, momos, tibetan, thai, fast food, beverages",Behala,"669/1, Diamond Harbour Road, Near Behala Chowrasta, Behala, Kolkata",400,3438,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese momos tibetan thai fast food beverages homedelivery takeaway indoorseating midrange
Chilli Garlic,"chinese, tibetan, seafood",Behala,"808, Ho Chi Minh Sarani, Near Shakuntala Park Multiplex, Behala, Kolkata",700,14028,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese tibetan seafood homedelivery takeaway indoorseating expensive
Jessore Local,bengali,Thakur Pukur,"110, 1st Floor, Om Sai Kriti Apartment, Diamond Harbour Road, Thakur Pukur, Kolkata",250,105,3.4,midrange,homedelivery   ,homedelivery midrange,bengali homedelivery midrange
The Good Bowl,"north indian, asian, biryani, shake",Joka,"203, Mahatma Gandhi Road, Joka, Kolkata",200,764,4.2,midrange,homedelivery   ,homedelivery midrange,north indian asian biryani shake homedelivery midrange
Cocoa Bakery,desserts,New Alipore,"22N/1, Block A, New Alipore, Kolkata",500,4671,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,desserts homedelivery takeaway indoorseating expensive
Sanjha Chulha,"north indian, biryani, chinese, rolls, shake",Behala,"25 Nafar CH Das Road, Ward 120, Borough X III, Behala, Kolkata",700,471,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani chinese rolls shake homedelivery takeaway indoorseating expensive
Garden Cafe,"south indian, pizza, beverages, ice cream, shake",Alipore,"8/1, Woodlands Service Station, Alipore Road, Alipore, Kolkata",350,3099,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian pizza beverages ice cream shake homedelivery takeaway vegonly indoorseating midrange
Kitchen Of Flavours,"chinese, north indian, bengali, fast food, biryani, seafood, momos",Joka,"14/7, Near 22 Bigha Road, Nabapally, Joka, Kolkata",100,1489,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese north indian bengali fast food biryani seafood momos homedelivery takeaway cheapeats
